No,FIFA_Rank,Player,Abbr,Country,Confederation,Pos,Passes_Att,Passes_Cmp,Cmp_pct
268,518,Crysencio Summerville,NED,Netherlands,UEFA,FW,67,56,83.58
269,518,Miguel Almiron,PAR,Paraguay,CONMEBOL,MF,67,49,73.13
270,518,Alexander Bernhardsson,SWE,Sweden,UEFA,DF,67,51,76.12
271,525,Kristoffer Nordfeldt,SWE,Sweden,UEFA,GK,66,45,68.18
272,525,Tomas Holes,CZE,Czechia,UEFA,DF,66,55,83.33
273,531,Alexandr Sojka,CZE,Czechia,UEFA,MF,65,52,80.0
274,531,Gabriel Martinelli,BRA,Brazil,CONMEBOL,FW,65,59,90.77
275,535,Phillip Mwene,AUT,Austria,UEFA,DF,64,56,87.5
276,535,Amadou Onana,BEL,Belgium,UEFA,MF,64,57,89.06
277,541,Kenny Mclean,SCO,Scotland,UEFA,MF,63,56,88.89
278,541,Teun Koopmeiners,NED,Netherlands,UEFA,MF,63,54,85.71
279,546,Salih Ozcan,TUR,Türkiye,UEFA,MF,61,52,85.25
280,546,Pervis Estupinan,ECU,Ecuador,CONMEBOL,DF,61,55,90.16
281,550,Florian Grillitsch,AUT,Austria,UEFA,MF,60,55,91.67
282,550,Joao Felix,POR,Portugal,UEFA,FW,60,47,78.33
283,554,Bernardo Silva,POR,Portugal,UEFA,MF,59,55,93.22
284,554,Eren Elmali,TUR,Türkiye,UEFA,DF,59,52,88.14
285,566,Maxi Araujo,URU,Uruguay,CONMEBOL,MF,57,50,87.72
286,567,Nico Paz,ARG,Argentina,CONMEBOL,FW,56,54,96.43
287,567,Richard Rios,COL,Colombia,CONMEBOL,MF,56,47,83.93
288,572,Nicolas De La Cruz,URU,Uruguay,CONMEBOL,MF,55,45,81.82
289,572,John Mcginn,SCO,Scotland,UEFA,MF,55,47,85.45
290,572,Dodi Lukebakio,BEL,Belgium,UEFA,FW,55,44,80.0
291,577,Johan Manzambi,SUI,Switzerland,UEFA,MF,54,43,79.63
292,582,Luis Suarez,COL,Colombia,CONMEBOL,FW,53,39,73.58
293,584,David Raum,GER,Germany,UEFA,DF,52,44,84.62
294,584,Ben Gannon Doak,SCO,Scotland,UEFA,FW,52,47,90.38
295,584,Scott Mckenna,SCO,Scotland,UEFA,DF,52,49,94.23
296,584,Yunus Akgun,TUR,Türkiye,UEFA,FW,52,41,78.85
297,584,Amar Memic,BIH,Bosnia and Herzegovina,UEFA,MF,52,39,75.0
298,593,Giovani Lo Celso,ARG,Argentina,CONMEBOL,MF,51,47,92.16
299,593,Pavel Sulc,CZE,Czechia,UEFA,FW,51,39,76.47
300,598,Nico Williams,ESP,Spain,UEFA,FW,50,45,90.0
301,598,Benjamin Nygren,SWE,Sweden,UEFA,MF,50,46,92.0
302,598,Mario Pasalic,CRO,Croatia,UEFA,MF,50,45,90.0
303,603,Elliot Stroud,SWE,Sweden,UEFA,DF,49,38,77.55
304,605,Lukas Provod,CZE,Czechia,UEFA,MF,48,37,77.08
305,605,Edin Dzeko,BIH,Bosnia and Herzegovina,UEFA,FW,48,33,68.75
306,605,Kieran Tierney,SCO,Scotland,UEFA,DF,48,36,75.0
307,616,Jaroslav Zeleny,CZE,Czechia,UEFA,DF,47,35,74.47
308,616,David Doudera,CZE,Czechia,UEFA,DF,47,34,72.34
309,616,Angelo Preciado,ECU,Ecuador,CONMEBOL,DF,47,32,68.09
310,616,Erling Haaland,NOR,Norway,UEFA,FW,47,34,72.34
311,624,Oguz Aydin,TUR,Türkiye,UEFA,FW,46,39,84.78
312,624,Daniel Svensson,SWE,Sweden,UEFA,DF,46,38,82.61
313,632,Tomas Soucek,CZE,Czechia,UEFA,MF,44,35,79.55
314,632,Raphinha,BRA,Brazil,CONMEBOL,FW,44,30,68.18
315,638,Santiago Arias,COL,Colombia,CONMEBOL,DF,43,37,86.05
316,638,Fabinho,BRA,Brazil,CONMEBOL,MF,43,42,97.67
317,638,Thelo Aasgaard,NOR,Norway,UEFA,MF,43,38,88.37
318,638,Luka Vuskovic,CRO,Croatia,UEFA,DF,43,38,88.37
319,644,Lukas Cerv,CZE,Czechia,UEFA,MF,42,36,85.71
320,644,Aaron Hickey,SCO,Scotland,UEFA,DF,42,38,90.48
321,644,Alexis Saelemaekers,BEL,Belgium,UEFA,MF,42,33,78.57
322,644,Romelu Lukaku,BEL,Belgium,UEFA,FW,42,32,76.19
323,649,Dean Henderson,ENG,England,UEFA,GK,41,32,78.05
324,649,Luca Jaquez,SUI,Switzerland,UEFA,DF,41,31,75.61
325,658,Nikola Vlasic,CRO,Croatia,UEFA,MF,40,33,82.5
326,658,Enner Valencia,ECU,Ecuador,CONMEBOL,FW,40,33,82.5
327,658,Miro Muheim,SUI,Switzerland,UEFA,DF,40,31,77.5
328,662,Ermedin Demirovic,BIH,Bosnia and Herzegovina,UEFA,FW,39,29,74.36
329,662,Diogo Dalot,POR,Portugal,UEFA,DF,39,34,87.18
330,666,Malick Thiaw,GER,Germany,UEFA,DF,38,33,86.84
331,666,Baris Alper Yilmaz,TUR,Türkiye,UEFA,FW,38,29,76.32
332,666,Besfort Zeneli,SWE,Sweden,UEFA,MF,38,34,89.47
333,671,Marco Pasalic,CRO,Croatia,UEFA,FW,37,23,62.16
334,671,Jesper Karlstrom,SWE,Sweden,UEFA,MF,37,31,83.78
335,674,Ozan Kabak,TUR,Türkiye,UEFA,DF,36,26,72.22
336,681,Ryan Christie,SCO,Scotland,UEFA,MF,35,29,82.86
337,686,Lawrence Shankland,SCO,Scotland,UEFA,FW,34,20,58.82
338,686,Angelo Stiller,GER,Germany,UEFA,MF,34,31,91.18
